year,team_qid,team_name,final_position,stage_reached,source_url,notes,brand,brand_name,brand_name_normalized,has_brand,is_champion,is_runner_up,is_top4,is_top8,is_top16,stage_norm
1970,Q155,Brazil,1,Final,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),athleta,Athleta,athleta,True,True,False,True,True,True,final
1970,Q38,Italy,2,Final,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),landoni,Landoni,landoni,True,False,True,True,True,True,final
1970,Q183,West Germany,3,Third place match,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),umbro,Umbro,umbro,True,False,False,True,True,True,third place match
1970,Q13393,Uruguay,4,Third place match,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),sanz hermanos,Sanz Hermanos,sanz hermanos,True,False,False,True,True,True,third place match
1970,Q15180,Soviet Union,5,Quarter-finals,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Historical team (Soviet Union); final standings (all teams),olimpiada,Olimpiada,olimpiada,True,False,False,False,True,True,quarter-finals
1970,Q96,Mexico,6,Quarter-finals,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),rigg,Rigg,rigg,True,False,False,False,True,True,quarter-finals
1970,Q419,Peru,7,Quarter-finals,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),in-house,In-House,in-house,True,False,False,False,True,True,quarter-finals
1970,Q21,England,8,Quarter-finals,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),umbro,Umbro,umbro,True,False,False,False,True,True,quarter-finals
1970,Q34,Sweden,9,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),umbro,Umbro,umbro,True,False,False,False,False,True,group stage
1970,Q31,Belgium,10,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),umbro,Umbro,umbro,True,False,False,False,False,True,group stage
1970,Q218,Romania,11,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),in-house,In-House,in-house,True,False,False,False,False,True,group stage
1970,Q801,Israel,12,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),umbro,Umbro,umbro,True,False,False,False,False,True,group stage
1970,Q219,Bulgaria,13,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),in-house,In-House,in-house,True,False,False,False,False,True,group stage
1970,Q1028,Morocco,14,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),in-house,In-House,in-house,True,False,False,False,False,True,group stage
1970,Q33946,Czechoslovakia,15,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Historical team (Czechoslovakia); final standings (all teams),in-house,In-House,in-house,True,False,False,False,False,True,group stage
1970,Q792,El Salvador,16,Group stage,https://www.thesoccerworldcups.com/world_cups/1970_final_standings.php,Final standings (all teams),in-house,In-House,in-house,True,False,False,False,False,True,group stage
1974,Q183,West Germany,1,Final,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Final standings (all teams),erima,Erima,erima,True,True,False,True,True,True,final
1974,Q55,Netherlands,2,Final,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Final standings (all teams),adidas,Adidas,adidas,True,False,True,True,True,True,final
1974,Q36,Poland,3,Third place match,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Final standings (all teams),adidas,Adidas,adidas,True,False,False,True,True,True,third place match
1974,Q155,Brazil,4,Third place match,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Final standings (all teams),athleta,Athleta,athleta,True,False,False,True,True,True,third place match
1974,Q34,Sweden,5,Second round,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Second group stage format in 1974,adidas,Adidas,adidas,True,False,False,False,True,True,second round
1974,Q169998,East Germany,6,Second round,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Historical team (East Germany); second group stage format,in-house,In-House,in-house,True,False,False,False,True,True,second round
1974,Q36704,Yugoslavia,7,Second round,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Historical team (Yugoslavia); second group stage format,adidas,Adidas,adidas,True,False,False,False,True,True,second round
1974,Q414,Argentina,8,Second round,https://www.thesoccerworldcups.com/world_cups/1974_final_standings.php,Second group stage format in 1974,adidas,Adidas,adidas,True,False,False,False,True,True,second round
